Class,Word,TF-IDF Value,Prior,Likelihood,Posterior
Paparan/Kontak dengan Suhu Ekstrem ,nasional,0.18509685817258548,0.1273148148148149,7.350943466097116e-05,1.7322918914314352e-06
Paparan/Kontak dengan Suhu Ekstrem ,pemadam,0.16361108477261857,0.1273148148148149,7.117501566689203e-05,1.4825837585839315e-06
Paparan/Kontak dengan Suhu Ekstrem ,damkar,0.15285690502925264,0.1273148148148149,0.00012434791254730174,2.419928329249028e-06
Paparan/Kontak dengan Zat atau Radiasi Berbahaya,gas,0.999,0.12500000000000008,6.441209180723828e-05,8.043459964428884e-06
Paparan/Kontak dengan Zat atau Radiasi Berbahaya,bakar,0.917677339848355,0.12500000000000008,8.444806190053358e-05,9.687009100028865e-06
Paparan/Kontak dengan Zat atau Radiasi Berbahaya,ledak,0.7201388241865785,0.12500000000000008,6.507221431150057e-05,5.857628487687637e-06
Paparan/Kontak dengan Zat atau Radiasi Berbahaya,bocor,0.7008610080896658,0.12500000000000008,6.290462237871162e-05,5.51092463173045e-06
Paparan/Kontak dengan Zat atau Radiasi Berbahaya,pt,0.5032351233587595,0.12500000000000008,0.00015657535533476942,9.849277282104294e-06
Paparan/Kontak dengan Zat atau Radiasi Berbahaya,korban,0.494910549857051,0.12500000000000008,0.00043070509261821727,2.6645061776739265e-05
Paparan/Kontak dengan Zat atau Radiasi Berbahaya,sumur,0.472669527835002,0.12500000000000008,6.290462237871162e-05,3.7166372697980923e-06
Paparan/Kontak dengan Zat atau Radiasi Berbahaya,pipa,0.43288747265550065,0.12500000000000008,6.290462237871162e-05,3.403827874983642e-06
Paparan/Kontak dengan Zat atau Radiasi Berbahaya,racun,0.4244956959531781,0.12500000000000008,6.290462237871162e-05,3.337842681915383e-06
Paparan/Kontak dengan Zat atau Radiasi Berbahaya,pabrik,0.39825929823809453,0.12500000000000008,0.00010293457487517793,5.124331444278123e-06
